	Cl[1]	0.02178	0.002043	2.67E-5	0.01773	0.02178	0.02578	20000	180001
	Cl[2]	0.04444	0.002814	1.918E-5	0.03913	0.04439	0.05012	20000	180001
	Cl[3]	0.04172	0.00271	2.08E-5	0.03654	0.04167	0.0472	20000	180001
	Cl[4]	0.03856	0.002615	2.093E-5	0.03357	0.03852	0.04378	20000	180001
	Cl[5]	0.0429	0.002961	2.33E-5	0.0372	0.04284	0.04885	20000	180001
	Cl[6]	0.04858	0.003257	2.504E-5	0.04234	0.04853	0.0551	20000	180001
	Cl[7]	0.04911	0.003435	2.804E-5	0.04248	0.04906	0.05603	20000	180001
	Cl[8]	0.04405	0.003074	2.48E-5	0.03815	0.04399	0.05026	20000	180001
	Cl[9]	0.03151	0.00218	1.83E-5	0.02735	0.0315	0.03588	20000	180001
	Cl[10]	0.0334	0.002653	2.615E-5	0.02827	0.03338	0.03866	20000	180001
	Cl[11]	0.05461	0.00351	2.632E-5	0.04792	0.05458	0.06164	20000	180001
	Cl[12]	0.04227	0.002758	1.963E-5	0.03702	0.04223	0.04789	20000	180001
	Clmed	0.04012	0.003636	1.178E-5	0.03337	0.03997	0.04779	20000	180001
	D[1,1]	0.05288	0.03096	2.14E-4	0.01877	0.0453	0.1315	20000	180001
	D[1,2]	-0.0227	0.06644	3.552E-4	-0.1698	-0.01712	0.09426	20000	180001
	D[1,3]	0.03673	0.03164	2.221E-4	-0.003713	0.03028	0.1154	20000	180001
	D[2,1]	-0.0227	0.06644	3.552E-4	-0.1698	-0.01712	0.09426	20000	180001
	D[2,2]	0.5548	0.3304	0.001648	0.1914	0.4742	1.395	20000	180001
	D[2,3]	-0.02246	0.08231	3.113E-4	-0.1994	-0.0183	0.1315	20000	180001
	D[3,1]	0.03673	0.03164	2.221E-4	-0.003713	0.03028	0.1154	20000	180001
	D[3,2]	-0.02246	0.08231	3.113E-4	-0.1994	-0.0183	0.1315	20000	180001
	D[3,3]	0.09266	0.04971	2.206E-4	0.03661	0.08083	0.219	20000	180001
	beta[1]	-2.434	0.0749	4.411E-4	-2.584	-2.433	-2.287	20000	180001
	beta[2]	0.2639	0.2255	8.824E-4	-0.1753	0.2599	0.7237	20000	180001
	beta[3]	-3.22	0.09038	2.969E-4	-3.4	-3.22	-3.041	20000	180001
	fitted[1,1]	1.204	0.1245	7.61E-4	0.9651	1.202	1.451	20000	180001
	fitted[1,2]	1.811	0.09626	4.969E-4	1.621	1.812	1.997	20000	180001
	fitted[1,3]	2.15	0.0694	2.97E-4	2.013	2.15	2.285	20000	180001
	fitted[1,4]	2.279	0.06568	4.466E-4	2.15	2.279	2.408	20000	180001
	fitted[1,5]	2.236	0.07355	5.561E-4	2.092	2.235	2.381	20000	180001
	fitted[1,6]	2.163	0.07214	5.106E-4	2.023	2.162	2.306	20000	180001
	fitted[1,7]	2.045	0.06814	4.447E-4	1.912	2.044	2.181	20000	180001
	fitted[1,8]	1.92	0.06638	4.698E-4	1.79	1.92	2.051	20000	180001
	fitted[1,9]	1.729	0.07103	6.787E-4	1.589	1.729	1.869	20000	180001
	fitted[1,10]	0.9682	0.1419	0.001979	0.6904	0.969	1.248	20000	180001
	fitted[2,1]	1.083	0.1131	6.164E-4	0.8634	1.082	1.308	20000	180001
	fitted[2,2]	1.57	0.09458	4.518E-4	1.384	1.57	1.755	20000	180001
	fitted[2,3]	1.924	0.07223	2.63E-4	1.781	1.925	2.065	20000	180001
	fitted[2,4]	2.079	0.06531	3.48E-4	1.949	2.08	2.207	20000	180001
	fitted[2,5]	2.009	0.07298	4.936E-4	1.866	2.01	2.152	20000	180001
	fitted[2,6]	1.87	0.07191	4.855E-4	1.73	1.87	2.013	20000	180001
	fitted[2,7]	1.671	0.06712	4.348E-4	1.541	1.67	1.804	20000	180001
	fitted[2,8]	1.472	0.06498	4.165E-4	1.347	1.472	1.601	20000	180001
	fitted[2,9]	1.17	0.07008	4.859E-4	1.033	1.17	1.307	20000	180001
	fitted[2,10]	-0.07022	0.1504	0.001277	-0.3702	-0.06959	0.2206	20000	180001
	fitted[3,1]	1.451	0.133	7.785E-4	1.195	1.448	1.719	20000	180001
	fitted[3,2]	1.911	0.09074	4.229E-4	1.729	1.913	2.086	20000	180001
	fitted[3,3]	2.102	0.0671	2.822E-4	1.969	2.102	2.233	20000	180001
	fitted[3,4]	2.132	0.07232	4.86E-4	1.988	2.133	2.272	20000	180001
	fitted[3,5]	2.006	0.07344	5.173E-4	1.864	2.005	2.152	20000	180001
	fitted[3,6]	1.874	0.06856	4.719E-4	1.741	1.873	2.011	20000	180001
	fitted[3,7]	1.692	0.06343	4.28E-4	1.569	1.692	1.818	20000	180001
	fitted[3,8]	1.516	0.0622	4.299E-4	1.394	1.515	1.638	20000	180001
	fitted[3,9]	1.228	0.0687	5.245E-4	1.093	1.227	1.363	20000	180001
